
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  2 348104 2478196 254452 1677192    0    0     0  1422 1855 4692 60  9  0 31  0	
 2  1 348100 2477692 254468 1677508    0    0     0  1864 1872 4438 61  8  0 32  0	
 1  1 348096 2478064 254468 1677008   16    0    16  1266 1840 4919 61  8  0 31  0	
 1  1 348096 2477964 254468 1677244    0    0     0  1848 1879 4904 61  8  0 31  0	
 3  0 348096 2477716 254476 1677592    0    0     0  1592 1852 4749 60  9  1 31  0	
 4  1 348096 2477220 254492 1677924    0    0     0  1232 1876 4471 60 10  0 30  0	
 1  1 348068 2477668 254492 1677288   16    0    16  1234 1952 4668 60  9  0 32  0	
 2  1 348064 2477552 254508 1677612    0    0     0  1656 1894 4934 62  7  0 31  0	
 2  1 348044 2475148 254508 1677964   16    0    16  1820 1897 4827 62  8  0 30  0	
 1  1 348044 2474628 254508 1678336    0    0     0  1348 1940 5110 62  9  0 29  0	
 2  1 348044 2475280 254516 1677720    0    0     0  1236 1910 5030 62  8  0 30  0	
 2  1 348044 2474908 254524 1678080    0    0     0  1592 1908 4921 61  9  1 30  0	
 4  1 348044 2474660 254524 1678412    0    0     0  1442 1911 4873 62  7  0 31  0	
 1  1 348044 2474172 254532 1678764    0    0     0  1154 1881 5011 62  8  0 31  0	
 1  1 348044 2475164 254540 1678160    0    0     0  1156 1897 5053 62  9  0 30  0	
 1  1 348044 2474792 254540 1678512    0    0     0  1098 1855 4806 61  8  0 31  0	
 1  1 348044 2474296 254548 1678884    0    0     0  1618 1901 4926 61  9  0 30  0	
 1  1 348044 2474916 254548 1678264    0    0     0  1448 1884 4878 61  9  0 31  0	
 1  1 348044 2474800 254556 1678600    0    0     0  1626 1838 4728 61  8  0 31  0	
 1  1 348044 2474140 254564 1678960    0    0     0  1150 1937 4872 62  8  1 29  0	
 1  1 348044 2473768 254564 1679332    0    0     0  1176 1904 5118 63  8  0 30  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 348044 2474264 254580 1678720    0    0     0  1634 1921 4869 60  9  0 30  0	
 1  1 348044 2473924 254580 1679084    0    0     0  1350 1977 5239 63  9  0 28  0	
 3  0 348044 2473560 254580 1679432    0    0     0  1772 1880 4926 61  8  0 31  0	
 1  1 348044 2474164 254596 1678816    0    0     0  1310 1970 5080 62  9  0 28  0	
 3  0 348044 2474164 254596 1679172    0    0     0  1630 1899 4933 61  8  0 30  0	
 3  0 348044 2473668 254604 1679548    0    0     0  1854 1932 5081 61  9  0 29  0	
 4  1 348044 2473304 254604 1679892    0    0     0  1306 1869 5021 61  8  0 31  0	
 4  1 348044 2473784 254604 1679256    0    0     0  1290 1938 5072 62  8  0 29  0	
 1  1 348044 2473552 254620 1679612    0    0     0  1564 1857 4648 60  8  0 32  0	
 2  1 348044 2473056 254620 1679960    0    0     0  1328 1900 4936 62  8  0 30  0	
 1  1 348020 2472560 254636 1680316    0    0     0  1890 1931 4879 62  9  0 29  0	
 1  1 348008 2473180 254636 1679700   16    0    16  1398 1938 5133 63  8  0 30  0	
 1  1 347988 2470908 254636 1680056    0    0     0  2014 1871 4831 61  8  0 31  0	
 1  1 347988 2470520 254644 1680396    0    0     0  1336 1843 4533 59  9  0 32  0	
 1  1 347988 2470892 254644 1679740    0    0     0  1250 1852 4660 60  8  0 32  0	
 1  1 347988 2470644 254652 1680076    0    0     0  1718 1845 4572 60  9  0 31  0	
 1  1 347988 2470404 254660 1680420    0    0     0  1654 1912 4835 61  8  0 31  0	
 2  1 347988 2469916 254660 1680776    0    0     0  1380 1927 5071 62  9  0 30  0	
 2  1 347988 2470504 254668 1680176    0    0     0  1328 1906 4949 61  9  0 30  0	
 2  1 347988 2470504 254676 1680516    0    0     0  1238 1830 4685 60  8  0 32  0	
 1  1 347988 2470256 254684 1680860    0    0     0  1762 1874 4727 61  8  0 31  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  1 347988 2469776 254684 1681208    0    0     0  1586 1855 4705 60  9  0 32  0	
 1  1 347984 2470536 254692 1680576    0    0     0  1800 1849 4913 61  9  0 31  0	
 3  0 347984 2469900 254692 1680956    0    0     0  1314 1902 4979 61  9  0 30  0	
 1  1 347984 2469528 254692 1681312    0    0     0  1370 1919 5084 62  8  0 30  0	
 3  0 347984 2469900 254708 1680684    0    0     0  1568 1904 4788 61  9  0 31  0	
 1  1 347984 2469776 254708 1681036    0    0     0  1158 1895 4832 61  8  0 30  0	
 3  0 347984 2469536 254708 1681360    0    0     0  1632 1842 4623 60  8  0 32  0	
 1  1 347984 2469032 254716 1681704    0    0     0  1078 1849 4596 61  8  0 31  0	
 1  1 347984 2469652 254716 1681052    0    0     0  1398 1823 4596 60  8  0 32  0	
 1  1 347984 2469140 254732 1681384    0    0     0  1568 1874 4578 60  8  0 32  0	
